KEY,en,notes,sp,fr,de,it,pt-br,zh
KEYWORD_BLESSINGOFPEACE_DESC,Gain +{stacks} [img:divineshield] at the end of your turn. Lose this when you deal damage.,,Obtiene +{stacks} [img:divineshield] al final del turno. Lo pierde al infligir daño.,[img:divineshield] +{stacks} à la fin de votre tour. Vous perdez ceci quand vous subissez des dégâts.,"Erhält am Ende deines Zuges +{stacks}&nbsp;[img:divineshield]. Verschwindet, wenn du Schaden verursachst.",Ottieni +{stacks} allo [img:divineshield] alla fine del tuo turno. Perdi questo bonus quando infliggi danno.,Obtenha +{stacks} de [img:divineshield] no final do seu turno. Perca isto ao causar dano.,"回合结束时获得 +{stacks} [img:divineshield]。
造成伤害时失去此效果。"
KEYWORD_BLESSINGOFPEACE_DESC_STACKLESS,Gain [img:divineshield] at the end of your turn. Lose this when you deal damage.,,Obtiene [img:divineshield] al final del turno. Lo pierde al infligir daño.,Vous obtenez de la [img:divineshield] à la fin de votre tour. Vous perdez ceci quand vous infligez des dégâts.,"Erhält am Ende deines Zuges [img:divineshield]. Verschwindet, wenn du Schaden verursachst.",Ottieni [img:divineshield] alla fine del tuo turno. Lo perdi quando infliggi danno.,Obtenha [img:divineshield] no final do seu turno. Perca isto ao causar dano.,"回合结束时获得 [img:divineshield]。
造成伤害时失去此效果。"
KEYWORD_BLIND_NAME,Blind,,Ceguera,Cécité,Blindheit,Accecamento,Cegueira,致盲
KEYWORD_BLIND_DESC,30% miss chance for the next {stacks} turns.,,30 % de probabilidad de fallo en los siguientes {stacks} turnos.,Risques d'échec +30&nbsp;% pour les {stacks} prochains tours.,"Für die nächsten {stacks}&nbsp;Züge: 30%ige Wahrscheinlichkeit, dass Angriffe verfehlen.",30% di probabilità di mancare il bersaglio per i prossimi {stacks} turni.,30% de chance de errar nos próximos {stacks} turnos.,"接下来的 {stacks} 回合内有 30% 的未命中率。
"
KEYWORD_BLIND_DESC_STACKLESS,30% miss chance for the next turn.,,30 % de probabilidad de fallo en el siguiente turno.,Risques d'échec +30&nbsp;% pour le tour à venir.,"Für den nächsten Zug: 30%ige Wahrscheinlichkeit, dass Angriffe verfehlen.",30% di probabilità di mancare il bersaglio per il prossimo turno.,30% de chance de errar no próximo turno.,"下一回合有 30% 的未命中率。
"
KEYWORD_BLOODZERK_NAME,Bloodzerked,,Sangramiento,Sanguinaire,Blutberserker,Furia di Sangue,Sanguinolência,血怒
KEYWORD_BLOODZERK_DESC,"When you deal health damage to a bleeding unit, heal that much health.",,"Al infligir daño a una unidad con hemorragia, recupera la misma cantidad de salud.","Quand vous infligez des dégâts à une unité subissant Saignement, vous récupérez autant de santé.","Heile dich um die Höhe des Schadens, den du bei einer blutenden Einheit verursachst.","Quando infliggi un danno alla salute di un'unità con Sanguinamento, ti curi di un ammontare pari a quel danno.","Ao causar dano à saúde de uma unidade com sangramento, cure uma quantidade equivalente de saúde.","当你对流血单位造成生命值伤害时，
恢复等量的生命值。"
KEYWORD_BODYGUARD_NAME,Body Guard,,Guardaespaldas,Garde du corps,Bodyguard,Guardia del Corpo,Guarda-Costas,护卫
KEYWORD_BODYGUARD_DESC,"The next time an ally is targeted, swap places with them first.",,"La próxima vez que apunten a un aliado, se intercambian las casillas.","La prochaine fois qu'un allié est pris pour cible, vous échangez votre place avec lui.","Tausche das nächste Mal, wenn ein Verbündeter anvisiert wird, Plätze mit ihm, bevor er angegriffen wird.","La prossima volta che un alleato viene preso di mira, ti scambi prima di posto con lui.","Na próxima vez em que um aliado se tornar alvo, troque de lugar com ele.","下一次盟友被作为目标时，
先与其交换位置。"
KEYWORD_BOUNTY_NAME,Bounty,,Recompensa,Prime,Kopfgeld,Taglia,Recompensa,赏金
KEYWORD_BOUNTY_DESC,"Takes 25% extra damage. If killed, gain {stacks} coins.",,"Sufre un 25 % de daño extra. Si muere, obtiene {stacks} monedas.","Vous subissez +25&nbsp;% de dégâts. K.O., vous obtenez {stacks} pièce(s).","Erleidet 25&nbsp;% zusätzlichen Schaden. Erhalte {stacks}&nbsp;Münzen, wenn die Einheit stirbt.","Subisce il 25% di danno aggiuntivo. Se muore, guadagni {stacks} monete.","Sofre 25% de dano adicional. Ao morrer, obtenha {stacks} moedas.","受到的伤害增加 25%。
如果被击杀，获得 {stacks} 枚金币。"
KEYWORD_BOUNTY_DESC_STACKLESS,"Takes 25% extra damage. If killed, gain coins.",,"Sufre un 25 % de daño extra. Si muere, obtiene monedas.","Vous subissez +25&nbsp;% de dégâts. K.O., vous obtenez des pièces.","Erleidet 25&nbsp;% zusätzlichen Schaden. Erhalte Münzen, wenn die Einheit stirbt.","Subisce il 25% di danno aggiuntivo. Se muore, guadagni monete.","Sofre 25% de dano adicional. Ao morrer, obtenha moedas.","受到的伤害增加 25%。
如果被击杀，获得金币。"
KEYWORD_BRACE_NAME,Brace,,Refuerzo,Garde,Wappnen,Guardia,Preparação,护甲
KEYWORD_BRACE_DESC,Takes {stacks} less damage from all sources.,,Sufre {stacks} menos de daño de todos los ataques.,Les dégâts que vous subissez diminuent de {stacks}.,Erleidet von allen Quellen {stacks}&nbsp;Schaden weniger.,Subisce {stacks} di danno in meno da tutte le fonti.,Sofre {stacks} a menos de dano de todas as fontes.,受到的所有伤害减少 {stacks} 点。
KEYWORD_BRACE_DESC_STACKLESS,Reduces all incoming damage.,,Reduce todo el daño sufrido.,Réduit tous les dégâts que vous subissez.,Reduziert sämtlichen erhaltenen Schaden.,Riduce tutto il danno in arrivo.,Reduz todo o dano sofrido.,减少所有受到的伤害。
KEYWORD_BRUISE_NAME,Bruise,,Moratón,Contusion,Beulen,Livido,Contusão,淤伤
KEYWORD_BRUISE_DESC,Takes {stacks} more damage from physical sources.,,Sufre {stacks} más de daño de los ataques físicos.,Les dégâts physiques que vous subissez augmentent de {stacks}.,Erleidet {stacks}&nbsp;Schaden mehr durch physische Angriffe.,Subisce {stacks} di danno in più da fonti fisiche.,Sofre {stacks} a mais de dano de fontes físicas.,受到的物理伤害增加 {stacks} 点。
KEYWORD_BRUISE_DESC_STACKLESS,Increases all incoming physical damage.,,Aumenta todo el daño físico sufrido.,Augmente tous les dégâts physiques que vous subissez.,Erhöht sämtlichen physischen Schaden.,Aumenta tutto il danno fisico in arrivo.,Aumenta todo o dano físico sofrido.,增加所有受到的物理伤害。
KEYWORD_BURN_NAME,Burn,,Quemadura,Brûlure,Verbrennung,Bruciatura,Queimadura,燃烧
KEYWORD_BURN_DESC,"Takes {stacks} damage at start of its turn, then decrease Burn by 1.",,Sufre {stacks} de daño al inicio del turno y luego reduce la quemadura en 1.,"Subit {stacks} dégâts au début de son tour, puis Brûlure -1.",Erleidet am Ende des Zuges {stacks}&nbsp;Schaden und verringert Verbrennung um 1.,"Subisce {stacks} di danno all'inizio del suo turno, poi riduce Bruciatura di 1.","Sofre {stacks} de dano no início de seu turno, e então diminui a queimadura em 1.","回合开始时受到 {stacks} 点伤害，
然后燃烧层数减少 1。"
KEYWORD_BURN_DESC_STACKLESS,"Takes damage at start of its turn, then decrease Burn by 1.",,Sufre daño al inicio del turno y luego reduce la quemadura en 1.,"Subit des dégâts au début de son tour, puis Brûlure -1.",Erleidet am Ende des Zuges Schaden und verringert Verbrennung um 1.,"Subisce danno all'inizio del suo turno, poi riduce Bruciatura di 1.","Sofre dano no início de seu turno, e então diminui a queimadura em 1.","回合开始时受到伤害，
然后燃烧层数减少 1。"
KEYWORD_PROMOTE_NAME,Promote,,Ascenso,Promotion,Beförderung,Promozione,Promover,晋升
KEYWORD_PROMOTE_DESC,The next familiar you spawn is upgraded into a [img:champion] Champion.,,El siguiente familiar que se genera mejora a [img:champion] adalid.,Le prochain familier que vous invoquez est promu au rang de champion [img:champion].,"Der nächste Begleiter, den du rufst, wird zum [img:champion]&nbsp;Champion befördert.",Il prossimo famiglio che generi viene potenziato in un Campione [img:champion].,O próximo familiar que você gerar é aprimorado para um campeão [img:champion].,"你生成的下一个使魔将升级为 [img:champion] 冠军。
"
KEYWORD_PROMOTE2_NAME,Promote+,,Ascenso+,Promotion+,Beförderung+,Promozione+,Promover+,晋升+
KEYWORD_PROMOTE2_DESC,The next familiar you spawn is upgraded into an [img:elite] Elite.,,El siguiente familiar que se genera mejora a [img:elite] élite.,Le prochain familier que vous invoquez est promu au rang d'élite [img:champion].,"Der nächste Begleiter, den du rufst, wird zur [img:elite]&nbsp;Elite befördert.",Il prossimo famiglio che generi viene potenziato in un Élite [img:elite].,O próximo familiar que você gerar é aprimorado para um elite [img:elite].,"你生成的下一个使魔将升级为 [img:elite] 精英。
"
KEYWORD_CHARGE_NAME,Charge,,Carga,Charge,Ladung,Carica,Carga,充能
KEYWORD_CHARGE_DESC,Gains {stacks} mana at the start of its next turn.,,Obtiene {stacks} de maná al inicio del siguiente turno.,Mana +{stacks} au début de son prochain tour.,Erhält am Anfang seines nächsten Zuges {stacks}&nbsp;Mana.,Ottiene {stacks} mana all'inizio del suo prossimo turno.,Obtém {stacks} de mana no início de seu turno.,"下回合开始时获得 {stacks} 点法力值。
"
KEYWORD_CHARGE_DESC_STACKLESS,Gains mana at the start of its next turn.,,Obtiene maná al inicio del siguiente turno.,Gain de mana au début de son prochain tour.,Erhält am Anfang seines nächsten Zuges Mana.,Ottiene mana all'inizio del suo prossimo turno.,Obtém mana no início de seu turno.,下回合开始时获得法力值。
KEYWORD_CHARGEFISTS_NAME,Charge Fists,,Carga de puños,Poings étincelants,Fäuste nachladen,Pugni Carichi,Punhos Carregados,充能拳
KEYWORD_CHARGEFISTS_DESC,Your basic attack emits {stacks} Sparkles until the end of the turn.,,El ataque básico emite {stacks} destellos hasta el final del turno.,Votre attaque de base émet {stacks} étincelles jusqu'à la fin du tour.,Bis zum Ende deines Zuges versprüht dein Grundangriff {stacks}&nbsp;Funken.,Il tuo attacco base emette {stacks} Scintille fino alla fine del turno.,Seu ataque básico emite {stacks} fagulhas até o final do turno.,"直到回合结束，
你的基础攻击会发射 {stacks} 个火花。
"
KEYWORD_CHARGEFISTS_DESC_SINGULAR,Your basic attack emits a Sparkle until the end of the turn.,,El ataque básico emite un destello hasta el final del turno.,Votre attaque de base émet une étincelle jusqu'à la fin du tour.,Bis zum Ende deines Zuges versprüht dein Grundangriff einen Funken.,Il tuo attacco base emette una Scintilla fino alla fine del turno.,Seu ataque básico emite uma fagulha até o final do turno.,"直到回合结束，
你的基础攻击会发射一个火花。"
KEYWORD_CHARGEFISTS_DESC_STACKLESS,Your basic attack emits Sparkles until the end of the turn.,,El ataque básico emite destellos hasta el final del turno.,Votre attaque de base émet des étincelles jusqu'à la fin du tour.,Bis zum Ende deines Zuges versprüht dein Grundangriff Funken.,Il tuo attacco base emette Scintille fino alla fine del turno.,Seu ataque básico emite fagulhas até o final do turno.,"直到回合结束，你的基础攻击会发射火花。
"
KEYWORD_CHAUP_NAME,Charisma Up,,Carisma aumentado,Charisme (+),Charisma hoch,Carisma +,Carisma Aumentado,魅力提升
KEYWORD_CHAUP_DESC,"Charisma increased by {stacks}.
Charisma affects max mana and initial mana.",,"El carisma aumenta en {stacks}.
El carisma afecta al maná inicial y al máximo de maná.","Charisme +{stacks}.
Le charisme affecte le mana max. et le mana initial.","Charisma um {stacks} erhöht.
Charisma wirkt sich auf max. Mana und Mana zu Kampfbeginn aus.","Il carisma aumenta di {stacks}.
Il carisma influenza il mana massimo e il mana iniziale.","O carisma é aumentado em {stacks}.
O carisma afeta a mana máxima e a mana inicial.","魅力增加 {stacks} 点。
魅力影响最大法力值和初始法力值。
"
KEYWORD_CHADOWN_NAME,Charisma Down,,Carisma reducido,Charisme (-),Charisma runter,Carisma -,Carisma Diminuído,魅力下降
KEYWORD_CHADOWN_DESC,"Charisma decreased by {absstacks}.
Charisma affects max mana and initial mana.",,"El carisma se reduce en {absstacks}.
El carisma afecta al maná inicial y al máximo de maná.","Charisme -{absstacks}.
Le charisme affecte le mana max. et le mana initial.","Charisma um {stacks} verringert.
Charisma wirkt sich auf max. Mana und Mana zu Kampfbeginn aus.","Il carisma diminuisce di {absstacks}.
Il carisma influenza il mana massimo e il mana iniziale.","O carisma é diminuído em {absstacks}.
O carisma afeta a mana máxima e a mana inicial.","魅力减少 {absstacks} 点。
魅力影响最大法力值和初始法力值。
"
KEYWORD_CLEAVE_NAME,Cleave,,Incisión,Fendoir,Schlachten,Fendente,Cisão,切割
KEYWORD_CLEAVE_DESC,Cuts a chunk of meat off what it hits.,,Corta un trozo de carne de aquello que golpea.,Coupe la cible comme un vulgaire morceau de viande.,Schneidet ein Stück Fleisch von seinem Ziel ab.,Taglia via un pezzo di carne da ciò che colpisce.,Corta um pedaço de carne do que é atingido.,砍下命中目标的一块肉。
KEYWORD_CHARMED_NAME,Charmed,,Embrujo,Envoûtement,Charme,Ammaliamento,Feitiço,魅惑
KEYWORD_CHARMED_DESC,It's brainwashed!,,¡Le han lavado el cerebro!,On lui a lavé le cerveau&nbsp;!,Die Einheit ist verliebt!,È un lavaggio del cervello!,Lavagem cerebral!,它被洗脑了！
KEYWORD_CHARMED_DESC_STACKLESS,Behaves as if it's on your team.,,Se comporta como si fuera del grupo.,Se comporte comme un membre de l'équipe.,"Einheit benimmt sich, als wäre sie auf deiner Seite.",Si comporta come se facesse parte della tua squadra.,Comporta-se como se estivesse na sua equipe.,表现得像是你队伍的一员。
KEYWORD_PROBED_NAME,Probed,,Sonda,Sonde,Sondiert,Sonda,Sondagem,植入探针
KEYWORD_PROBED_DESC,It's being controlled! Attack it to break the probe!,,¡Controlan su voluntad! Hay que atacar para destrozar la sonda.,Il est contrôlé&nbsp;! Attaquez-le pour détruire la sonde&nbsp;!,"Wird ferngesteuert! Greife die Einheit an, um die Sonde zu zerstören!",L'unità è sotto controllo! Attaccala per rompere la sonda!,Suas ações estão sendo controladas! Ataque para interromper a sondagem!,"它受到控制！攻击它以破坏探针！
"
KEYWORD_PROBED_DESC_STACKLESS,Behaves as if it's on your team. Attacks from allies will break the probe.,,Se comporta como si fuera del grupo. Los ataques aliados destrozarán la sonda.,Se comporte comme s'il était dans votre équipe. Les attaques des alliés détruiront la sonde.,"Einheit benimmt sich, als wäre sie auf deiner Seite. Angriffe von Verbündeten zerstören die Sonde.",Si comporta come se facesse parte della tua squadra. Gli attacchi degli alleati romperanno la sonda.,Comporta-se como se estivesse na sua equipe. Ataques de aliados interrompem a sondagem.,"表现得像是你队伍的一员。
来自盟友的攻击会破坏探针。"
KEYWORD_CONFUSION_NAME,Confusion,,Confusión,Confusion,Verwirrung,Confusione,Confusão,混乱
KEYWORD_CONFUSION_DESC,"When performing an action, 25% chance to instead hit itself equal to its strength. Lasts {stacks} turns.",,"Al realizar una acción, tiene un 25 % de probabilidad de autogolpearse con su fuerza. Dura {stacks} turnos.","En effectuant une action, 25&nbsp;% de chances de se frapper soi-même. Dure {stacks} tours.","Wenn die Einheit eine Aktion ausführt, besteht eine 25%ige Wahrscheinlichkeit, dass sie sich selbst Schaden in Höhe ihrer Stärke zufügt. Dauert {stacks}&nbsp;Züge.","Quando esegue un'azione, c'è il 25% di probabilità che si autocolpisca con un danno pari alla sua forza. Dura {stacks} turni.","Ao realizar uma ação, possui 25% de chance de golpear a si mesmo de forma equivalente à sua força. Dura {stacks} turnos.","执行行动时，
有 25% 的几率改为攻击自己，
伤害等同于其力量。持续 {stacks} 回合。
"
KEYWORD_CONFUSION_DESC_STACKLESS,"When performing an action, 25% chance to instead hit itself equal to its strength.",,"Al realizar una acción, tiene un 25 % de probabilidad de autogolpearse con su fuerza.","En effectuant une action, 25&nbsp;% de chances de se frapper soi-même.","Wenn die Einheit eine Aktion ausführt, besteht eine 25%ige Wahrscheinlichkeit, dass sie sich selbst Schaden in Höhe ihrer Stärke zufügt.","Quando esegue un'azione, c'è il 25% di probabilità che si autocolpisca con un danno pari alla sua forza.","Ao realizar uma ação, possui 25% de chance de golpear a si mesmo de forma equivalente à sua força.","执行行动时，
有 25% 的几率改为攻击自己，
伤害等同于其力量。"
KEYWORD_CONUP_NAME,Constitution Up,,Constitución aumentada,Constitution (+),Konstitution hoch,Costituzione +,Constituição Aumentada,体质提升
KEYWORD_CONUP_DESC,"Constitution increased by {stacks}.
Constitution affects max health and post-battle health regen.",,"La constitución aumenta en {stacks}.
La constitución afecta al máximo de salud y a la regeneración de salud tras el combate.","Constitution +{stacks}.
La constitution affecte les PV max. et la régénération de PV après les combats.","Konstitution um {stacks} erhöht.
Konstitution wirkt sich auf max. Gesundheit und Lebensregeneration nach dem Kampf aus.","La costituzione aumenta di {stacks}.
La costituzione influenza la salute massima e la rigenerazione della salute dopo le battaglie.","A constituição é aumentada em {stacks}.
A constituição afeta a saúde máxima e a regeneração de saúde pós-batalha.","体质增加 {stacks} 点。
体质影响最大生命值和战后生命恢复。
"
KEYWORD_CONDOWN_NAME,Constitution Down,,Constitución reducida,Constitution (-),Konstitution runter,Costituzione -,Constituição Diminuída,体质下降
KEYWORD_CONDOWN_DESC,"Constitution decreased by {absstacks}.
Constitution affects max health and post-battle health regen.",,"La constitución se reduce en {absstacks}.
La constitución afecta al máximo de salud y a la regeneración de salud tras el combate.","Constitution -{absstacks}.
La constitution affecte les PV max. et la régénération de PV après les combats.","Konstitution um {absstacks} verringert.
Konstitution wirkt sich auf max. Gesundheit und Lebensregeneration nach dem Kampf aus.","La costituzione diminuisce di {stacks}.
La costituzione influenza la salute massima e la rigenerazione della salute dopo le battaglie.","A constituição é diminuída em {absstacks}.
A constituição afeta a saúde máxima e a regeneração de saúde pós-batalha.","体质减少 {absstacks} 点。
体质影响最大生命值和战后生命恢复。
"
KEYWORD_COUNTER_NAME,Counter Attack,,Contrataque,Contre-attaque,Konter,Contrattacco,Contra-Ataque,反击
KEYWORD_COUNTER_DESC,Attack the next thing that damages you automatically.,,Ataca automáticamente al siguiente ente que le inflija daño.,Attaque automatiquement la prochaine chose qui vous blesse.,"Greife die nächste Einheit, die dir Schaden zufügt, automatisch an.",Attacchi automaticamente la prossima cosa che ti infligge danno.,Ataque automaticamente a próxima coisa que causar dano a você.,"自动攻击下一个对你造成伤害的目标。
"
KEYWORD_COUNTER_DESC_STACKS,Attack the next {stacks} things that damage you automatically.,,Ataca automáticamente a los siguientes {stacks} entes que le inflijan daño.,Attaque automatiquement les {stacks} prochaines choses qui vous blessent.,"Greife die nächsten {stacks}&nbsp;Einheiten, die dir Schaden zufügen, automatisch an.",Attacchi automaticamente le prossime {stacks} cose che ti infliggono danno.,Ataque automaticamente as próximas {stacks} coisas que causarem dano a você.,"自动攻击接下来的 {stacks} 个对你造成伤害的目标。
"
KEYWORD_CRITCHANCE_NAME,Crit Chance Up,,Probabilidad de crítico aumentada,Chances de coup critique (+),Kritische Trefferchance hoch,Probabilità di Critico +,Chance de Crítico Aumentada,暴击率提升
KEYWORD_CRITCHANCE_DESC,Crit Chance increased by {stacks}%,,La probabilidad de crítico aumenta en un {stacks} %.,Chances de coup critique +{stacks}&nbsp;%.,Kritische Trefferchance um {stacks}&nbsp;% erhöht.,La probabilità di colpo critico aumenta del {stacks}%.,A chance de crítico é aumentada em {stacks}%.,暴击率提升 {stacks}%
KEYWORD_DAMAGEUP_NAME,Damage Up,,Daño aumentado,Dégâts (+),Schaden hoch,Danno +,Dano Aumentado,伤害提升
KEYWORD_DAMAGEUP_DESC,Basic attack damage increased by {stacks}.,,El daño del ataque básico aumenta en {stacks}.,Dégâts de l'attaque de base +{stacks}.,Schaden des Grundangriffs um {stacks} erhöht.,Il danno da attacco base aumenta di {stacks}.,O dano do ataque básico é aumentado em {stacks}.,基础攻击伤害增加 {stacks} 点。
