KEY,en,notes,sp,fr,de,it,pt-br,zh
NPC_BEANIES_INTRO_10,[img:default]But what do you have to do with all of this?,,[img:default]Pero ¿qué tienes tú que ver con todo esto?,"[img:default]Du coup, tu te demandes ce que tu viens faire dans tout ça&nbsp;?",[img:default]Was du damit zu tun hast?,[img:default]Cosa c'entri tu con tutto questo?,[img:default]Mas o que você tem a ver com tudo isso?,[img:default]那你跟这一切有什么关系？
NPC_BEANIES_INTRO_11,"[img:default]Well, word on the street is you're a bit of a felineologist yourself.",,"[img:default]Bueno, se rumorea que a ti también te interesan los asuntos de... felinología.","[img:default]Eh bien, il paraît que toi aussi tu es un genre de félinologue.","[img:default]Na ja, Gerüchten zufolge bist auch du ganz schön felinophil.","[img:default]Beh, si dice in giro che la felinologia sia il tuo campo.","[img:default]Bem, estão dizendo por aí que você possui um certo interesse em felinologia.",[img:default]听说你自己也是位猫学家。
NPC_BEANIES_INTRO_12,"[img:happy]I know we just met, but I bet if you and I put our brains together we could actually change the world!",,"[img:happy]Sé que acabamos de conocernos, pero creo que, si trabajamos codo con codo, podríamos cambiar este mundo.","[img:happy]Je sais qu'on vient tout juste de se rencontrer, mais je suis sûr qu'en travaillant ensemble, on pourrait tous les deux changer complètement le monde&nbsp;!","[img:happy]Ich weiß, ich weiß, wir haben uns gerade erst kennengelernt, aber ich bin mir sicher, dass wir die Welt verändern können, wenn wir nur zusammenarbeiten!","[img:happy]So che non ci conosciamo da molto, ma scommetto che se io e te unissimo le nostre menti potremmo davvero cambiare il mondo!","[img:happy]Eu sei que acabamos de nos conhecer, mas aposto que poderíamos mudar o mundo se juntássemos nossas mentes!",[img:happy]我们刚认识，但我敢打赌如果你我齐心协力，真的能改变世界！
NPC_BEANIES_INTRO_13,[img:veryhappy][s:1.5][a:wave]WITH CATS![/a][/s],,[img:veryhappy][s:1.5][a:wave]¡CON GATOS![/a][/s],[img:veryhappy][s:1.5][a:wave]GRÂCE AUX CHATS&nbsp;![/a][/s],[img:veryhappy][s:1.5][a:wave]MIT HILFE VON KATZEN![/a][/s],[img:veryhappy][s:1.5][a:wave]CON I GATTI![/a][/s],[img:veryhappy][s:1.5][a:wave]COM GATOS![/a][/s],[img:veryhappy][s:1.5][a:wave]用猫！[/a][/s]
NPC_BEANIES_INTRO_14,"[img:winking]Now take a gander at these fine specimens!
This is my latest batch! Straight out of their biovats!",,"[img:winking]Mira, contempla estos fantásticos ejemplares.
¡Es mi última hornada! Acaban de salir de sus biotanques.","[img:winking]Bon, maintenant, admire ces superbes spécimens&nbsp;!
C'est ma dernière fournée&nbsp;! Tout droit sortis de leur biocuve&nbsp;!","[img:winking]Sieh dir nur diese feinen Exemplare an!
Meine neueste Charge! Frisch aus dem Reagenzglas!","[img:winking]Ora dai un'occhiata a questi splendidi esemplari!
Questo è il mio ultimo lotto! Appena sfornato dalle vasche biologiche!","[img:winking]Agora, dê uma olhada nesses belos espécimes!
Esta é minha última fornada! Direto de seus bioreceptáculos!","[img:winking]现在看看这些优秀的标本！
这是我最新的一批！刚从培养槽里出来！"
NPC_BEANIES_INTRO_15,"Choose two,
a boy and a girl...
Trust me you'll find out why later. ",,"Elige a dos:
macho y hembra.
Hazme caso, ya entenderás el porqué. ","Il faut que tu en prennes deux,
un mâle et une femelle...
Ne t'inquiète pas, tu vas vite comprendre pourquoi.","Such dir zwei aus, einen Jungen und ein Mädchen&nbsp;…
Du wirst schon noch sehen, warum. ","Scegline due,
un maschio e una femmina...
Fidati, presto scoprirai il perché..","Escolha dois,
um macho e uma fêmea...
Confie em mim, você descobrirá o porquê mais tarde.","选两个，
一公一母……
相信我，你以后会明白为什么。"
NPC_BEANIES_INTRO_16,"[img:shocked]Uhh
what's wrong with {Catname}?!",,"[img:shocked]Eh...
¡¿Qué problema tiene {Catname}?!","[img:shocked]Euh
Et {catname}, c'est sa tête qui ne te revenait pas&nbsp;?!","[img:shocked]Ähh, was hast du gegen {Catname}?!","[img:shocked]Uhh...
Cos'ha {Catname} che non va?!","[img:shocked]Uhh...
O que há de errado com {Catname}?!",[img:shocked]呃，{Catname}怎么了？！
NPC_BEANIES_INTRO_16_M,,,,,,,,
NPC_BEANIES_INTRO_16_F,,,,,,,,
NPC_BEANIES_INTRO_16_N,,,,,,,,
NPC_BEANIES_INTRO_17,"[img:bored]Wow, ok I didn't expect you to pass on the best of the bunch!",,"[img:bored]Vaya... Bueno, no esperaba que despreciases a los mejores, la verdad...","[img:bored]Waouh, d'accord. Je ne pensais pas que tu allais ignorer le meilleur des trois&nbsp;!","[img:bored]Wow, okay, ich hätte nicht gedacht, dass du ausgerechnet die beste nicht willst!","[img:bored]Wow, ok, non mi aspettavo che ti lasciassi sfuggire il meglio del gruppo!","[img:bored]Uau, ok, eu não esperava que você fosse deixar passar a melhor opção!",[img:bored]哇，好吧，我没想到你会放弃这批里最好的！
NPC_BEANIES_INTRO_18,"[img:default]Whatever,
their pieces will be put to good use.",,"[img:default]En fin,
sus restos serán de gran utilidad.","[img:default]Bref,
ses morceaux ne seront pas perdus.","[img:default]Na ja. egal,
ich werde ihre Einzelteile gut verwerten.","[img:default]In ogni caso,
i suoi pezzi verranno utilizzati al meglio.","[img:default]Que seja,
seus pedaços vão ser muito úteis.","[img:default]随你吧，
它们的身体会被好好利用的。"
NPC_BEANIES_INTRO_19,[img:sad]Isn't nature just cruel...,,[img:sad]Qué cruel es la naturaleza...,[img:sad]Qu'est-ce que la nature est cruelle...,[img:sad]Wie grausam die Natur doch ist&nbsp;…,[img:sad]La natura è crudele...,[img:sad]A natureza não é cruel...?,[img:sad]大自然真残酷……
NPC_BEANIES_INTRO_20,[img:happy]But it doesn't have to be!,,[img:happy]¡Pero no tiene por qué serlo!,[img:happy]Mais elle n'a pas forcément à l'être&nbsp;!,[img:happy]Aber das muss nicht so sein!,[img:happy]Ma non deve esserlo per forza!,[img:happy]Se bem que ela não precisa ser!,[img:happy]但其实不必如此！
NPC_BEANIES_INTRO_21,"[img:pondering]In fact, I think with my brains and your ability to choose less than ideal cats...",,"[img:pondering]De hecho, creo que con mi cerebro y tu cuestionable habilidad para elegir gatos...","[img:pondering]D'ailleurs, je crois qu'avec mon cerveau et ta capacité à choisir des chats plus que discutables...","[img:pondering]Ich glaube, wenn wir meine Intelligenz und deine Gabe dafür, minderwertige Katzen auszusuchen, kombinieren&nbsp;…","[img:pondering]Anzi, penso che con il mio cervello e la tua capacità di scegliere gatti non proprio perfetti...","[img:pondering]De fato, eu acho que com o meu cérebro e a sua habilidade de escolher gatos abaixo do ideal...",[img:pondering]事实上，我觉得凭借我的智慧和你挑选不太理想猫咪的能力……
NPC_BEANIES_INTRO_22,[img:veryhappy]We could really shake things up!,,[img:veryhappy]¡podríamos cambiar muchas cosas!,[img:veryhappy]On va vraiment tout chambouler&nbsp;!,[img:veryhappy]Könnten wir wirklich etwas erreichen!,[img:veryhappy]Potremmo davvero cambiare le cose!,[img:veryhappy]Nós realmente poderíamos fazer grandes coisas!,[img:veryhappy]我们真的可以掀起一场大风暴！
NPC_BEANIES_INTRO_23,"[img:happy]Hell, with enough cats I bet we could reverse time!
Maybe even make dying impossible!?",,"[img:happy]¡Con suficientes gatos, incluso podríamos revertir el tiempo!
¡¿Incluso hacer imposible la muerte?!","[img:happy]Ma foi, avec assez de chats, je parie même que nous pourrons inverser le temps&nbsp;!
Ou peut-être même invalider la mort&nbsp;!?","[img:happy]Wenn wir genug Katzen haben, können wir vielleicht sogar die Zeit zurückdrehen!
Oder den Schlüssel zur Unsterblichkeit finden?!","[img:happy]Diamine, con abbastanza gatti scommetto che potremmo riuscire a invertire il tempo!
Forse... persino rendere impossibile morire?!","[img:happy]Ora, com gatos suficientes eu aposto que nós poderíamos reverter o tempo!
Talvez até mesmo tornar a morte algo impossível!?","[img:happy]见鬼，只要有足够多的猫，我打赌我们可以逆转时间！
甚至让死亡变得不可能！？"
NPC_BEANIES_INTRO_24,"[img:pondering][s:.7]All I need is a nuke,
radioactive blood
and a bit of elbow grease...[/s]",,"[img:pondering][s:.7]Solo necesito un arma nuclear,
sangre radiactiva
y un poquito de sudor de sobaco...[/s]","[img:pondering][s:.7]Tout ce qu'il me faut, c'est une bombe nucléaire,
du sang radioactif
et un peu d'huile de coude...[/s]","[img:pondering][s:.7]Alles, was ich dafür brauche, ist eine Atombombe, radioaktives Blut und ordentlich Hirnschmalz für die Sache&nbsp;…[/s]","[img:pondering][s:.7]Tutto ciò di cui ho bisogno è una bomba atomica,
del sangue radioattivo
e un po' di olio di gomito...[/s]","[img:pondering][s:.7]Tudo que eu preciso é de uma bomba nuclear,
sangue radioativo
e um pouco de trabalho duro...[/s]","[img:pondering][s:.7]我只需要一颗核弹，
放射性血液
和一点苦干……[/s]"
NPC_BEANIES_INTRO_25,"[img:winking]Don't worry,
I'll be sure to harvest some from {Catname's} elbows before {he's} incinerated.",,"[img:winking]Tranqui,
ya extraeré el necesario de los sobacos de {Catname's} antes de su incineración.","[img:winking]Ne t'en fais pas pour {catname},
Je n'oublierai pas de récupérer celle qui était dans ses coudes avant de l'incinérer.","[img:winking]Keine Sorge,
ich werde das Gehirn von {Catname} ordentlich ausdrücken, bevor {he} in den Ofen kommt.","[img:winking]Non preoccuparti,
mi assicurerò di raccoglierne un po' dai gomiti di {Catname} prima della cremazione.","[img:winking]Não se preocupe,
Eu já vou trabalhar muito duro na incineração de {Catname}.","[img:winking]别担心，
我会确保在{Catname}被焚毁前收集一些他的肘部材料。"
NPC_BEANIES_INTRO_25_M,,,,,,,,
NPC_BEANIES_INTRO_25_F,,,,,,,,
NPC_BEANIES_INTRO_25_N,,,,,,,,
NPC_BEANIES_INTRO_26,"[img:happy][s:1.3]Now go, my child![/s]",,"[img:happy][s:1.3]¡Ahora vete, criatura![/s]","[img:happy][s:1.3]Allez, va, mon enfant&nbsp;![/s]","[img:happy][s:1.3]Und jetzt hinfort mit dir, mein Kind![/s]","[img:happy][s:1.3]Ora vai, mia creatura![/s]","[img:happy][s:1.3]Agora vá, criança![/s]",[img:happy][s:1.3]现在走吧，我的孩子！[/s]
NPC_BEANIES_INTRO_27,[img:veryhappy][s:1.5]Go into the world and hoard some cats![/s],,[img:veryhappy][s:1.5]Sal al mundo y acapara gatos.[/s],[img:veryhappy][s:1.5]Parcours le monde et accumule les chats&nbsp;![/s],[img:veryhappy][s:1.5]Geh hinaus in die Welt und sammle Katzen![/s],[img:veryhappy][s:1.5]Avventurati nel mondo e fai incetta di gatti![/s],[img:veryhappy][s:1.5]Ande pelo mundo e adote alguns gatos![/s],[img:veryhappy][s:1.5]走进世界，收集一些猫吧！[/s]
,,,,,,,,
//beanies_progression,,,,,,,,
NPC_BEANIES_UNPROMPTED1_1,[img:angry]Who let you back here!? Leave!,,[img:angry]¿Quién te ha dejado volver a entrar? ¡Largo!,[img:angry]Qui vous a laissé entrer&nbsp;!? Sortez tout de suite&nbsp;!,[img:angry]Wer hat dich reingelassen?! Raus hier!,[img:angry]Chi ti ha fatto rientrare qui!? Vattene!,[img:angry]Quem deixou você voltar aqui!? Vá embora!,[img:angry]谁让你回来这里的！？滚！
NPC_BEANIES_UNPROMPTED2_1,[img:veryangry]Where is your warrant!?,,[img:veryangry]¡¿Tienes una orden de registro?!,[img:veryangry]Vous avez un mandat&nbsp;!?,[img:veryangry]Wo ist der Durchsuchungsbefehl?!,[img:veryangry]Dov’è il tuo mandato?!,[img:veryangry]Onde está seu mandado!?,[img:veryangry]你的搜查令呢！？
NPC_BEANIES_UNPROMPTED2_2,"[img:default]Oh, it's you... [img:angry]GO AWAY!",,"[img:default]Ah, eres tú...[img:angry]¡Lárgate!","[img:default]Oh, c'est toi.. [img:angry]DÉGAGE&nbsp;!","[img:default]Oh, du bist es&nbsp;… [img:angry]VERSCHWINDE!","[img:default]Oh, sei tu... [img:angry]VATTENE!","[img:default]Oh, é você... [img:angry]VÁ EMBORA!",[img:default]哦，是你…… [img:angry]滚开！
NPC_BEANIES_UNPROMPTED3_1,[img:veryangry]I HAVE A GUN!,,[img:veryangry]¡QUE TENGO UN ARMA!,[img:veryangry]J'AI UN FLINGUE&nbsp;!,[img:veryangry]ICH HABE EINE WAFFE!,[img:veryangry]HO UNA PISTOLA!,[img:veryangry]EU TENHO UMA ARMA!,[img:veryangry]我有枪！
NPC_BEANIES_UNPROMPTED3_2,"[img:scared]Jesus, I thought you were a Nazi from the future...",,"[img:scared]Jesús, creía que eras un nazi del futuro...","[img:scared]Bon dieu, j'ai cru que tu étais un nazi venu du futur...","[img:scared]Oh Gott, ich dachte, du wärst ein Nazi aus der Zukunft&nbsp;…","[img:scared]Gesù, pensavo fossi un nazista proveniente dal futuro...","[img:scared]Jesus Cristinho, pensei que você fosse um nazista do futuro...",[img:scared]天哪，我还以为你是未来的纳粹……
NPC_BEANIES_UNPROMPTED3_3,[img:angry]Leave...,,[img:angry]Vete...,[img:angry]Va-t'en...,[img:angry]Bitte geh&nbsp;…,[img:angry]Ora vai...,[img:angry]Vá embora...,[img:angry]滚……
NPC_BEANIES_UNPROMPTED4_1,[img:angry]If I wanted you here I would have called you... Go back home.,,"[img:angry]Si te quisiera aquí, te habría llamado. Vete a casa, anda.","[img:angry]Si j'avais voulu te voir, j'aurais fait appel à toi... Rentre chez toi.","[img:angry]Hätte ich dich gebraucht, hätte ich dich gerufen&nbsp;… Geh nach Hause.",[img:angry]Se ti avessi voluto qui mi sarei fatto sentire... tornatene a casa.,"[img:angry]Se eu quisesse você aqui, teria te chamado... Volte para casa.",[img:angry]要是我想见你早就叫你来了……回家去吧。
NPC_BEANIES_UNPROMPTED5_1,[img:veryangry]I TOLD YOU ALREADY I HAVE NO IDEA WHERE THOSE KIDS ARE!,,[img:veryangry]¡YA TE HE DICHO QUE NO TENGO NI IDEA DE DÓNDE ESTÁN LOS CRÍOS!,"[img:veryangry]JE VOUS L'AI DÉJÀ DIT, J'IGNORE OÙ SONT CES ENFANTS&nbsp;!","[img:veryangry]ICH HAB DOCH GESAGT, ICH HAB KEINE AHNUNG, WAS MIT DEN KINDERN PASSIERT IST!","[img:veryangry]TE L'HO GIÀ DETTO, NON HO LA MINIMA IDEA DI DOVE SIANO QUEI RAGAZZI!",[img:veryangry]EU JÁ DISSE QUE NÃO FAÇO IDEIA DE ONDE ESTÃO AQUELAS CRIANÇAS!,[img:veryangry]我已经告诉过你了，我一点都不知道那些孩子在哪里！
NPC_BEANIES_UNPROMPTED5_2,[img:questioning]Oh... it's you. Please leave.,,"[img:questioning]Ah, eres tú... Vete, haz el favor.","[img:questioning]Ah... c'est toi. S'il te plaît, va-t'en.",[img:questioning]Oh&nbsp;… Du bist es. Bitte geh wieder.,"[img:questioning]Oh... sei tu. Per favore, vattene.","[img:questioning]Ah... é você. Por favor, vá embora.",[img:questioning]哦……是你。请离开。
NPC_BEANIES_UNPROMPTED6_1,[img:happy]Like what you see? ... [img:shocked]Hey you aren't the girl from the photo!?,,[img:happy]¿Te gusta lo que ves?...[img:shocked]Esto... Tú no eres la chica de la foto...,"[img:happy]T'aimes ce que tu vois&nbsp;? ... [img:shocked]Hé, mais t'es pas la fille de la photo&nbsp;!?","[img:happy]Hey, Puppe, gefällt dir, was du siehst? …&nbsp;[img:shocked]Warte, du bist ja gar nicht das Mädchen von dem Foto?!","[img:happy]Ti piace quello che vedi? ... [img:shocked]Ehi, tu non sei la ragazza della foto...","[img:happy]Está gostando? ... [img:shocked]Ei, você não é aquela menina da foto!?",[img:happy]喜欢你看到的吗？...[img:shocked]嘿，你不是照片里的那个女孩！？
NPC_BEANIES_UNPROMPTED6_2,[img:sad][s:.7]I knew it was too good to be true...[/s],,[img:sad][s:.7]Sabía que era demasiado bonito para ser real...[/s],[img:sad][s:.7]Je savais que c'était trop beau pour être vrai...[/s],"[img:sad][s:.7]Ich wusste, es war zu schön, um wahr zu sein&nbsp;…[/s]",[img:sad][s:.7]Lo sapevo che era troppo bello per essere vero...[/s],[img:sad][s:.7]Eu sabia que era bom demais para ser verdade...[/s],[img:sad][s:.7]我就知道好事不长久……[/s]
NPC_BEANIES_UNPROMPTED6_3,[img:angry]Get out of my lab!,,[img:angry]¡Lárgate de mi laboratorio!,[img:angry]Sors de mon labo&nbsp;!,[img:angry]Raus aus meinem Labor!,[img:angry]Fuori dal mio laboratorio!,[img:angry]Saia do meu laboratório!,[img:angry]从我的实验室滚出去！
NPC_BEANIES_ALSO_1,Also...,,A todo esto...,En plus...,Außerdem&nbsp;…,Inoltre...,Além disso...,还有……
NPC_BEANIES_BEANIES_BEGIN_ACCEPTING_CATS_1,"[img:default]Hey, remember me?
Dr. Beanies.",,"[img:default]Eh, ¿te acuerdas de mí?
Soy el Dr. Beanies.","[img:default]Hé, tu te souviens de moi&nbsp;?
Le Dr Beanies.","[img:default]Hey, kennst du mich noch?
Dr. Beanies der Name.","[img:default]Ehi, ti ricordi di me?
Sono il dottor Beanies.","[img:default]Oi, lembra de mim?
Dr. Beanies.","[img:default]嘿，还记得我吗？
Dr. Beanies。"
NPC_BEANIES_BEANIES_BEGIN_ACCEPTING_CATS_2,[img:questioning]The guy who brought you back to life and kick-started your cat hoarding career?,,[img:questioning]¿El que te devolvió a la vida y dio comienzo a tu carrera de acaparamiento de gatos?,[img:questioning]Le gars qui t'a rendu la vie et qui a lancé ta carrière consistant à accumuler des chats&nbsp;?,"[img:questioning]Du weißt schon, der Typ, der dich zurück zum Leben erweckt und deine Katzenkarriere zum Laufen gebracht hat?",[img:questioning]Quello che ti ha riportato in vita e ti ha fatto iniziare ad accaparrare gatti...,[img:questioning]O cara que te trouxe de volta à vida e deu o pontapé inicial na sua carreira de acumulação de gatos?,[img:questioning]那个让你起死回生并开启你的猫咪收藏生涯的家伙？
NPC_BEANIES_BEANIES_BEGIN_ACCEPTING_CATS_3,[img:angry]The man who you owe your very existence to!? Remember!?,,[img:angry]¡¿El hombre al que le debes literalmente tu existencia?! ¡¿Te acuerdas?!,[img:angry]L'homme à qui tu dois ton existence même&nbsp;?! Ça te revient&nbsp;?!,[img:angry]Promovierter Naturwissenschaftler?! Klingelt‘s jetzt?!,[img:angry]L'uomo a cui devi la tua stessa esistenza! Non ti dice niente?!,[img:angry]O homem a quem você deve a sua própria existência!? Lembra!?,[img:angry]那个你欠你生命存在的人！？还记得吗！？
NPC_BEANIES_BEANIES_BEGIN_ACCEPTING_CATS_4,"[img:happy]Good, because it's time to pay the piper!
See, I kinda need your help...",,"[img:happy]¡Bien, porque es hora de pagar tus deudas!
Verás, necesito tu ayuda...","[img:happy]Bien, parce qu'il est l'heure de passer à la caisse&nbsp;!
Enfin, disons que j'ai besoin de ton aide...","[img:happy]Gut, es ist nämlich an der Zeit, deine Schulden zu begleichen! Weißt du, ich benötige deine Hilfe&nbsp;…","[img:happy]Bene, perché è ora di pagare pegno!
Vedi, mi servirebbe il tuo aiuto...","[img:happy]Ótimo, porque está na hora de encarar a realidade!
Veja, eu preciso da sua ajuda...","[img:happy]很好，因为是时候付出代价了！
看，我有点需要你的帮助……"
NPC_BEANIES_BEANIES_BEGIN_ACCEPTING_CATS_5,[img:pondering]But I need some more science to get there...,,[img:pondering]Pero necesito más ciencia para llegar hasta ahí...,"[img:pondering]Pour faire ce que je veux, j'ai besoin de davantage de science...",[img:pondering]Aber der Stand meiner Wissenschaft reicht noch nicht aus&nbsp;…,[img:pondering]Ma ho ancora bisogno di un po' di scienza per arrivarci...,[img:pondering]Mas eu preciso de um pouco mais de ciência para conseguir...,[img:pondering]但我需要更多的科学才能做到……
NPC_BEANIES_BEANIES_BEGIN_ACCEPTING_CATS_6,[img:questioning]Were you aware that cats with disorders or mutations also contain ungodly amounts of science?,,[img:questioning]¿Sabías que los gatos con trastornos o mutaciones también contienen cantidades ingentes de ciencia?,"[img:questioning]Le savais-tu, les chats présentant des troubles ou des mutations contiennent des quantités obscènes de science&nbsp;?","[img:questioning]Wusstest du, dass Katzen mit Störungen oder Mutationen unglaublich viel Wissenschaft enthalten?",[img:questioning]Sapevi che i gatti con disturbi o mutazioni contengono una quantità spropositata di scienza?,[img:questioning]Você sabia que gatos com transtornos ou mutações também contêm quantidades incríveis de ciência?,[img:questioning]你知道患有疾病或突变的猫咪也含有大量不可思议的科学吗？
NPC_BEANIES_BEANIES_BEGIN_ACCEPTING_CATS_7,"[img:happy]Well you are now!
Send me a specimen like that and I may have a little ""Side Quest"" for ya...",,"[img:happy]¡Pues ya lo sabes!
Mándame un espécimen así y quizá tenga una misión secundaria para ti...","[img:happy]Maintenant, oui&nbsp;!
Envoie-moi un spécimen comme ça et j'aurais peut-être une «&nbsp;Quête secondaire&nbsp;» pour toi...","[img:happy]Nun, jetzt weißt du es!
Schick mir doch ein paar geeignete Exemplare, dann habe ich vielleicht eine kleine „Nebenquest“ für dich&nbsp;…","[img:happy]Beh, ora lo sai!
Fammi avere un esemplare del genere e potrei affidarti una piccola ""missione secondaria""...","[img:happy]Bem, agora você sabe!
Traga-me um espécime assim e talvez eu tenha uma ""missão secundária"" para você...","[img:happy]现在你知道了！
给我寄来这样一个标本，我可能会给你一个“小任务”……"
NPC_BEANIES_BEANIES_QUESTS_INTRO_1,"[img:happy]Ok, check this out..
While I was condensing that cat you sent into grease...
I had this amazing idea!",,"[img:happy]Oye, escucha.
Cuando estaba condensando en grasa el gato que me enviaste
¡tuve una idea magnífica!","[img:happy]Ok, jette donc un œil par ici...
J'étais en train de condenser le spécimen que tu m'a envoyé sous forme de graisse...
Quand j'ai eu une idée incroyable&nbsp;!","[img:happy]Okay, pass auf&nbsp;…
Gerade, als die letzte Katze, die du mir geschickt hast, am Schmelzen war&nbsp;… Ist mir eine großartige Idee gekommen!","[img:happy]Ok, guarda qui...
Mentre condensavo quel gatto che mi hai mandato trasformandolo in grasso... mi è venuta un'idea incredibile!","[img:happy]Ok, escute só essa...
Enquanto eu estava condensando o gato que você trouxe em graxa...
Eu tive uma ideia fantástica!","[img:happy]好，看看这个..
当我把你寄来的那只猫压缩成油脂时……
我有了个绝妙的主意！"
NPC_BEANIES_BEANIES_QUESTS_INTRO_2,[img:veryhappy]IT'S A NEW INVENTION!,,[img:veryhappy]¡ES UN NUEVO INVENTO!,[img:veryhappy]C'EST UNE NOUVELLE INVENTION&nbsp;!,[img:veryhappy]EINE NEUE ERFINDUNG!,"[img:veryhappy]È UNA NUOVA INVENZIONE!
",[img:veryhappy]É UMA NOVA INVENÇÃO!,[img:veryhappy]这是一个新发明！
NPC_BEANIES_BEANIES_QUESTS_INTRO_3,[img:mocking]And you are the perfect person to test it out!,,[img:mocking]Y eres la persona perfecta para probarlo.,[img:mocking]Et tu es la personne idéale pour la tester&nbsp;!,"[img:mocking]Und du bist genau die richtige Person, um sie zu testen!",[img:mocking]E tu sei la persona perfetta per testarla!,[img:mocking]E você é a pessoa perfeita para testá-la!,[img:mocking]而你是测试它的完美人选！
NPC_BEANIES_BEANIES_QUESTS_INTRO_4,[img:default]Take a look...,,[img:default]Echa un vistazo.,[img:default]Admire...,[img:default]Schau dir das an&nbsp;…,[img:default]Dai un'occhiata...,[img:default]Dê uma olhada...,[img:default]看一看……
